from,to,buyer,seller,tokenId,amount,timestamp
172,119,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,860c4604fe1125ea43f81e613e7afb2aa49546aa,1,0.46,2018-04-05T23:50:12Z
172,119,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,860c4604fe1125ea43f81e613e7afb2aa49546aa,3,0.46,2018-04-06T00:17:36Z
172,119,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,860c4604fe1125ea43f81e613e7afb2aa49546aa,4,0.46,2018-04-06T02:24:16Z
43,27,337101def3eeb6f06e071efe02216274507937bb,21316e6a4f0af45e5f1503984e83b10c53b177d8,17,0.423,2018-04-14T17:31:58Z
205,27,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,21316e6a4f0af45e5f1503984e83b10c53b177d8,29,0.423,2018-04-17T19:33:33Z
43,60,337101def3eeb6f06e071efe02216274507937bb,47709726b5bdc4c8c97de43691d93821d5b14103,26,0.2,2018-04-19T17:53:35Z
42,60,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,47709726b5bdc4c8c97de43691d93821d5b14103,20,0.1,2018-04-19T19:34:59Z
43,27,337101def3eeb6f06e071efe02216274507937bb,21316e6a4f0af45e5f1503984e83b10c53b177d8,36,0.23,2018-04-19T19:45:53Z
28,50,215fedd5780c39fbdadb4bc3700de61a8ffdd74a,39cc9c86e67baf2129b80fe3414c397492ea8026,14,0.7,2018-04-20T12:13:48Z
160,208,b4f6ae2cca59f0ea3fb2559e32c61df753bb542a,f0520845f700796b567cd740876f2e210f2468e5,45,1,2018-04-20T19:36:21Z
42,27,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,21316e6a4f0af45e5f1503984e83b10c53b177d8,37,0.18,2018-04-20T22:07:30Z
42,27,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,21316e6a4f0af45e5f1503984e83b10c53b177d8,44,0.44,2018-04-23T15:05:39Z
205,163,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,53,0.3,2018-04-24T20:31:43Z
204,50,ec6d36a487d85cf562b7b8464ce8dc60637362ac,39cc9c86e67baf2129b80fe3414c397492ea8026,7,0.5,2018-04-25T08:37:39Z
205,60,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,47709726b5bdc4c8c97de43691d93821d5b14103,21,0.12,2018-04-25T16:57:32Z
43,3,337101def3eeb6f06e071efe02216274507937bb,0320de3378dcde180758ad2d41c0e1c6dcbb441d,51,0.12,2018-04-25T19:59:51Z
68,27,51c3016d6699480ec6becdf2155079c27ebae040,21316e6a4f0af45e5f1503984e83b10c53b177d8,59,0.8,2018-04-25T20:15:46Z
43,163,337101def3eeb6f06e071efe02216274507937bb,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,57,0.3,2018-04-27T08:21:06Z
205,3,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,0320de3378dcde180758ad2d41c0e1c6dcbb441d,69,0.1,2018-04-27T12:24:13Z
218,3,fb1363ec558fc289ba6d4a6c6ba7919cfbb22b14,0320de3378dcde180758ad2d41c0e1c6dcbb441d,71,0.15,2018-04-28T09:55:28Z
94,3,6853a596d6d7264d3622546da3b891b6fe17eb82,0320de3378dcde180758ad2d41c0e1c6dcbb441d,74,0.1,2018-04-28T16:50:23Z
218,3,fb1363ec558fc289ba6d4a6c6ba7919cfbb22b14,0320de3378dcde180758ad2d41c0e1c6dcbb441d,50,0.15,2018-04-29T15:09:05Z
205,3,ec8c1050b45789f9ee4d09dcc7d64aaf9e233338,0320de3378dcde180758ad2d41c0e1c6dcbb441d,76,0.1,2018-04-30T00:46:21Z
201,172,e923d07f58239356d4b1db37e03a22141f4f37c6,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,4,1.81,2018-04-30T19:30:51Z
42,3,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,0320de3378dcde180758ad2d41c0e1c6dcbb441d,77,0.1,2018-04-30T21:23:54Z
172,119,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,860c4604fe1125ea43f81e613e7afb2aa49546aa,88,0.451,2018-04-30T22:05:03Z
42,106,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,79f7c440b359dece7f2a74813a94c36e3aba740e,61,0.5,2018-04-30T22:43:51Z
42,65,335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,4cc94028024bb109784690d71a4a010241aa6689,78,0.2,2018-05-01T15:53:00Z
43,106,337101def3eeb6f06e071efe02216274507937bb,79f7c440b359dece7f2a74813a94c36e3aba740e,64,0.5,2018-05-01T20:38:54Z
61,60,49e6f2d934077995cf4b24701fa5ae7f7b5e82e5,47709726b5bdc4c8c97de43691d93821d5b14103,22,0.14,2018-05-02T03:38:43Z
54,60,408c76d8e3284338cda7fded97aaf833b7b2480d,47709726b5bdc4c8c97de43691d93821d5b14103,27,0.25,2018-05-03T21:08:33Z
110,60,7e340f8bb5dafa15a16825e2a547ba8c04b297e6,47709726b5bdc4c8c97de43691d93821d5b14103,28,0.3,2018-05-09T23:49:02Z
172,119,bc74c3adc2aa6a85bda3eca5b0e235ca08532772,860c4604fe1125ea43f81e613e7afb2aa49546aa,102,0.41,2018-05-13T22:33:53Z
43,27,337101def3eeb6f06e071efe02216274507937bb,21316e6a4f0af45e5f1503984e83b10c53b177d8,104,0.145,2018-05-16T14:14:55Z
108,119,7d6105d75c5e6a40791a50a52a92365545e9b112,860c4604fe1125ea43f81e613e7afb2aa49546aa,85,1,2018-05-18T14:48:46Z
188,3,da07c2cbf92e488960efd591f75d1cb00e9e64ed,0320de3378dcde180758ad2d41c0e1c6dcbb441d,75,0.3,2018-05-18T17:30:04Z
101,186,756678bd0d2358d2198511c3adf50502fdf45597,d797d5784f43de300ec0d6bc34fc86023c5d71ce,105,0.001,2018-05-18T23:39:02Z
72,119,55372173689c288552885d897d32f5f706f79aa6,860c4604fe1125ea43f81e613e7afb2aa49546aa,65,1,2018-05-19T22:28:13Z
9,119,0d670d3cf94007639d0bd3f9286cea62f6271093,860c4604fe1125ea43f81e613e7afb2aa49546aa,66,1,2018-05-22T13:52:24Z
5,27,06ce30bd0e1520af542cd5f3a80ea2d1083a2888,21316e6a4f0af45e5f1503984e83b10c53b177d8,91,1,2018-05-23T16:55:07Z
5,27,06ce30bd0e1520af542cd5f3a80ea2d1083a2888,21316e6a4f0af45e5f1503984e83b10c53b177d8,67,0.5,2018-05-23T17:05:16Z
94,106,6853a596d6d7264d3622546da3b891b6fe17eb82,79f7c440b359dece7f2a74813a94c36e3aba740e,63,0.5,2018-05-25T19:41:35Z
5,47,06ce30bd0e1520af542cd5f3a80ea2d1083a2888,37d6140e556d3730e366ae983de4f436addb3b62,123,0.1,2018-05-25T20:43:43Z
24,119,1cf4d277263024d212c49ae0afb1ac5e8ab04cf4,860c4604fe1125ea43f81e613e7afb2aa49546aa,113,3,2018-05-30T21:11:37Z
72,163,55372173689c288552885d897d32f5f706f79aa6,b7734b5c378fd169d2b9720d0d5ac1a7b30f9fc9,55,0.3,2018-05-31T10:15:09Z
146,119,a636e1a462f612e14adc20cb405d1727a6efca6a,860c4604fe1125ea43f81e613e7afb2aa49546aa,86,2,2018-06-01T09:54:07Z
27,50,21316e6a4f0af45e5f1503984e83b10c53b177d8,39cc9c86e67baf2129b80fe3414c397492ea8026,124,0.15,2018-06-01T13:09:55Z
177,65,c72f3a0fedd9df54af271912f283cc0024c14197,4cc94028024bb109784690d71a4a010241aa6689,80,0.1,2018-06-12T18:33:23Z
94,104,6853a596d6d7264d3622546da3b891b6fe17eb82,77350e1152efd5f2d807a6124015c629a907155e,164,0.2,2018-06-25T18:37:11Z
